uuid,professional_persona,sports_persona,arts_persona,travel_persona,culinary_persona,persona,cultural_background,skills_and_expertise,hobbies_and_interests,career_goals_and_ambitions,sex,age,marital_status,education_level,occupation,industry,planning_area,country,interests_seed,skills_seed,skills_and_expertise_list,hobbies_and_interests_list
u-00012,professional 2,sports 0,arts 2,travel 0,culinary 0,Persona 12,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,32,single,bachelor,engineer,media,Woodlands,Singapore,['hobby4hobby5hobby6'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby4hobby5hobby6']
u-00013,professional 3,sports 1,arts 3,travel 1,culinary 1,Persona 13,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,33,married,bachelor,teacher,education,Jurong West,Singapore,['hobby5hobby6hobby7'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby5hobby6hobby7']
u-00014,professional 4,sports 2,arts 4,travel 2,culinary 2,Persona 14,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,34,single,bachelor,designer,finance,Hougang,Singapore,['hobby6hobby7hobby0'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby6hobby7hobby0']
u-00015,professional 5,sports 3,arts 0,travel 0,culinary 3,Persona 15,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,35,married,bachelor,analyst,tech,Bedok,Singapore,['hobby7hobby0hobby1'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby7hobby0hobby1']
u-00016,professional 6,sports 0,arts 1,travel 1,culinary 4,Persona 16,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,36,single,bachelor,manager,retail,Tampines,Singapore,['hobby0hobby1hobby2'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby0hobby1hobby2']
u-00017,professional 7,sports 1,arts 2,travel 2,culinary 5,Persona 17,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,37,married,bachelor,researcher,media,Woodlands,Singapore,['hobby1hobby2hobby3'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby1hobby2hobby3']
u-00018,professional 8,sports 2,arts 3,travel 0,culinary 0,Persona 18,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,38,single,bachelor,engineer,education,Jurong West,Singapore,['hobby2hobby3hobby4'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby2hobby3hobby4']
u-00019,professional 9,sports 3,arts 4,travel 1,culinary 1,Persona 19,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,39,married,bachelor,teacher,finance,Hougang,Singapore,['hobby3hobby4hobby5'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby3hobby4hobby5']
u-00020,professional 0,sports 0,arts 0,travel 2,culinary 2,Persona 20,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,40,single,bachelor,designer,tech,Bedok,Singapore,['hobby4hobby5hobby6'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby4hobby5hobby6']
u-00021,professional 1,sports 1,arts 1,travel 0,culinary 3,Persona 21,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,41,married,bachelor,analyst,retail,Tampines,Singapore,['hobby5hobby6hobby7'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby5hobby6hobby7']
u-00022,professional 2,sports 2,arts 2,travel 1,culinary 4,Persona 22,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,42,single,bachelor,manager,media,Woodlands,Singapore,['hobby6hobby7hobby0'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby6hobby7hobby0']
u-00023,professional 3,sports 3,arts 3,travel 2,culinary 5,Persona 23,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,43,married,bachelor,researcher,education,Jurong West,Singapore,['hobby7hobby0hobby1'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby7hobby0hobby1']
u-00024,professional 4,sports 0,arts 4,travel 0,culinary 0,Persona 24,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,44,single,bachelor,engineer,finance,Hougang,Singapore,['hobby0hobby1hobby2'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby0hobby1hobby2']
u-00025,professional 5,sports 1,arts 0,travel 1,culinary 1,Persona 25,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,45,married,bachelor,teacher,tech,Bedok,Singapore,['hobby1hobby2hobby3'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby1hobby2hobby3']
u-00026,professional 6,sports 2,arts 1,travel 2,culinary 2,Persona 26,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,46,single,bachelor,designer,retail,Tampines,Singapore,['hobby2hobby3hobby4'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby2hobby3hobby4']
u-00027,professional 7,sports 3,arts 2,travel 0,culinary 3,Persona 27,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,47,married,bachelor,analyst,media,Woodlands,Singapore,['hobby3hobby4hobby5'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby3hobby4hobby5']
u-00028,professional 8,sports 0,arts 3,travel 1,culinary 4,Persona 28,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,48,single,bachelor,manager,education,Jurong West,Singapore,['hobby4hobby5hobby6'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby4hobby5hobby6']
u-00029,professional 9,sports 1,arts 4,travel 2,culinary 5,Persona 29,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,49,married,bachelor,researcher,finance,Hougang,Singapore,['hobby5hobby6hobby7'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby5hobby6hobby7']
u-00030,professional 0,sports 2,arts 0,travel 0,culinary 0,Persona 30,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,50,single,bachelor,engineer,tech,Bedok,Singapore,['hobby6hobby7hobby0'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby6hobby7hobby0']
u-00031,professional 1,sports 3,arts 1,travel 1,culinary 1,Persona 31,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,51,married,bachelor,teacher,retail,Tampines,Singapore,['hobby7hobby0hobby1'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby7hobby0hobby1']
u-00032,professional 2,sports 0,arts 2,travel 2,culinary 2,Persona 32,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,52,single,bachelor,designer,media,Woodlands,Singapore,['hobby0hobby1hobby2'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby0hobby1hobby2']
u-00033,professional 3,sports 1,arts 3,travel 0,culinary 3,Persona 33,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,53,married,bachelor,analyst,education,Jurong West,Singapore,['hobby1hobby2hobby3'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby1hobby2hobby3']
u-00034,professional 4,sports 2,arts 4,travel 1,culinary 4,Persona 34,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,54,single,bachelor,manager,finance,Hougang,Singapore,['hobby2hobby3hobby4'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby2hobby3hobby4']
u-00035,professional 5,sports 3,arts 0,travel 2,culinary 5,Persona 35,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,55,married,bachelor,researcher,tech,Bedok,Singapore,['hobby3hobby4hobby5'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby3hobby4hobby5']
u-00036,professional 6,sports 0,arts 1,travel 0,culinary 0,Persona 36,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,56,single,bachelor,engineer,retail,Tampines,Singapore,['hobby4hobby5hobby6'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby4hobby5hobby6']
u-00037,professional 7,sports 1,arts 2,travel 1,culinary 1,Persona 37,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,57,married,bachelor,teacher,media,Woodlands,Singapore,['hobby5hobby6hobby7'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby5hobby6hobby7']
u-00038,professional 8,sports 2,arts 3,travel 2,culinary 2,Persona 38,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,58,single,bachelor,designer,education,Jurong West,Singapore,['hobby6hobby7hobby0'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby6hobby7hobby0']
u-00039,professional 9,sports 3,arts 4,travel 0,culinary 3,Persona 39,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,59,married,bachelor,analyst,finance,Hougang,Singapore,['hobby7hobby0hobby1'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby7hobby0hobby1']
u-00040,professional 0,sports 0,arts 0,travel 1,culinary 4,Persona 40,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,20,single,bachelor,manager,tech,Bedok,Singapore,['hobby0hobby1hobby2'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby0hobby1hobby2']
u-00041,professional 1,sports 1,arts 1,travel 2,culinary 5,Persona 41,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,21,married,bachelor,researcher,retail,Tampines,Singapore,['hobby1hobby2hobby3'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby1hobby2hobby3']
u-00042,professional 2,sports 2,arts 2,travel 0,culinary 0,Persona 42,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,22,single,bachelor,engineer,media,Woodlands,Singapore,['hobby2hobby3hobby4'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby2hobby3hobby4']
u-00043,professional 3,sports 3,arts 3,travel 1,culinary 1,Persona 43,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,23,married,bachelor,teacher,education,Jurong West,Singapore,['hobby3hobby4hobby5'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby3hobby4hobby5']
u-00044,professional 4,sports 0,arts 4,travel 2,culinary 2,Persona 44,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,24,single,bachelor,designer,finance,Hougang,Singapore,['hobby4hobby5hobby6'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby4hobby5hobby6']
u-00045,professional 5,sports 1,arts 0,travel 0,culinary 3,Persona 45,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,25,married,bachelor,analyst,tech,Bedok,Singapore,['hobby5hobby6hobby7'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby5hobby6hobby7']
u-00046,professional 6,sports 2,arts 1,travel 1,culinary 4,Persona 46,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,26,single,bachelor,manager,retail,Tampines,Singapore,['hobby6hobby7hobby0'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby6hobby7hobby0']
u-00047,professional 7,sports 3,arts 2,travel 2,culinary 5,Persona 47,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,27,married,bachelor,researcher,media,Woodlands,Singapore,['hobby7hobby0hobby1'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby7hobby0hobby1']
u-00048,professional 8,sports 0,arts 3,travel 0,culinary 0,Persona 48,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,28,single,bachelor,engineer,education,Jurong West,Singapore,['hobby0hobby1hobby2'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby0hobby1hobby2']
u-00049,professional 9,sports 1,arts 4,travel 1,culinary 1,Persona 49,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,29,married,bachelor,teacher,finance,Hougang,Singapore,['hobby1hobby2hobby3'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby1hobby2hobby3']
u-00050,professional 0,sports 2,arts 0,travel 2,culinary 2,Persona 50,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,30,single,bachelor,designer,tech,Bedok,Singapore,['hobby2hobby3hobby4'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby2hobby3hobby4']
u-00051,professional 1,sports 3,arts 1,travel 0,culinary 3,Persona 51,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,31,married,bachelor,analyst,retail,Tampines,Singapore,['hobby3hobby4hobby5'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby3hobby4hobby5']
u-00052,professional 2,sports 0,arts 2,travel 1,culinary 4,Persona 52,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,32,single,bachelor,manager,media,Woodlands,Singapore,['hobby4hobby5hobby6'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby4hobby5hobby6']
u-00053,professional 3,sports 1,arts 3,travel 2,culinary 5,Persona 53,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,33,married,bachelor,researcher,education,Jurong West,Singapore,['hobby5hobby6hobby7'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby5hobby6hobby7']
u-00054,professional 4,sports 2,arts 4,travel 0,culinary 0,Persona 54,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,34,single,bachelor,engineer,finance,Hougang,Singapore,['hobby6hobby7hobby0'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby6hobby7hobby0']
u-00055,professional 5,sports 3,arts 0,travel 1,culinary 1,Persona 55,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,35,married,bachelor,teacher,tech,Bedok,Singapore,['hobby7hobby0hobby1'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby7hobby0hobby1']
u-00056,professional 6,sports 0,arts 1,travel 2,culinary 2,Persona 56,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,36,single,bachelor,designer,retail,Tampines,Singapore,['hobby0hobby1hobby2'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby0hobby1hobby2']
u-00057,professional 7,sports 1,arts 2,travel 0,culinary 3,Persona 57,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,37,married,bachelor,analyst,media,Woodlands,Singapore,['hobby1hobby2hobby3'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby1hobby2hobby3']
u-00058,professional 8,sports 2,arts 3,travel 1,culinary 4,Persona 58,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,38,single,bachelor,manager,education,Jurong West,Singapore,['hobby2hobby3hobby4'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby2hobby3hobby4']
u-00059,professional 9,sports 3,arts 4,travel 2,culinary 5,Persona 59,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,39,married,bachelor,researcher,finance,Hougang,Singapore,['hobby3hobby4hobby5'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby3hobby4hobby5']
u-00060,professional 0,sports 0,arts 0,travel 0,culinary 0,Persona 60,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,40,single,bachelor,engineer,tech,Bedok,Singapore,['hobby4hobby5hobby6'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby4hobby5hobby6']
u-00061,professional 1,sports 1,arts 1,travel 1,culinary 1,Persona 61,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,41,married,bachelor,teacher,retail,Tampines,Singapore,['hobby5hobby6hobby7'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby5hobby6hobby7']
u-00062,professional 2,sports 2,arts 2,travel 2,culinary 2,Persona 62,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,42,single,bachelor,designer,media,Woodlands,Singapore,['hobby6hobby7hobby0'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby6hobby7hobby0']
u-00063,professional 3,sports 3,arts 3,travel 0,culinary 3,Persona 63,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,43,married,bachelor,analyst,education,Jurong West,Singapore,['hobby7hobby0hobby1'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby7hobby0hobby1']
u-00064,professional 4,sports 0,arts 4,travel 1,culinary 4,Persona 64,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,44,single,bachelor,manager,finance,Hougang,Singapore,['hobby0hobby1hobby2'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby0hobby1hobby2']
u-00065,professional 5,sports 1,arts 0,travel 2,culinary 5,Persona 65,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,45,married,bachelor,researcher,tech,Bedok,Singapore,['hobby1hobby2hobby3'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby1hobby2hobby3']
u-00066,professional 6,sports 2,arts 1,travel 0,culinary 0,Persona 66,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,46,single,bachelor,engineer,retail,Tampines,Singapore,['hobby2hobby3hobby4'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby2hobby3hobby4']
u-00067,professional 7,sports 3,arts 2,travel 1,culinary 1,Persona 67,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,47,married,bachelor,teacher,media,Woodlands,Singapore,['hobby3hobby4hobby5'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby3hobby4hobby5']
u-00068,professional 8,sports 0,arts 3,travel 2,culinary 2,Persona 68,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,48,single,bachelor,designer,education,Jurong West,Singapore,['hobby4hobby5hobby6'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby4hobby5hobby6']
u-00069,professional 9,sports 1,arts 4,travel 0,culinary 3,Persona 69,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,49,married,bachelor,analyst,finance,Hougang,Singapore,['hobby5hobby6hobby7'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby5hobby6hobby7']
u-00070,professional 0,sports 2,arts 0,travel 1,culinary 4,Persona 70,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,50,single,bachelor,manager,tech,Bedok,Singapore,['hobby6hobby7hobby0'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby6hobby7hobby0']
u-00071,professional 1,sports 3,arts 1,travel 2,culinary 5,Persona 71,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,51,married,bachelor,researcher,retail,Tampines,Singapore,['hobby7hobby0hobby1'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby7hobby0hobby1']
u-00072,professional 2,sports 0,arts 2,travel 0,culinary 0,Persona 72,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,52,single,bachelor,engineer,media,Woodlands,Singapore,['hobby0hobby1hobby2'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby0hobby1hobby2']
u-00073,professional 3,sports 1,arts 3,travel 1,culinary 1,Persona 73,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,53,married,bachelor,teacher,education,Jurong West,Singapore,['hobby1hobby2hobby3'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby1hobby2hobby3']
u-00074,professional 4,sports 2,arts 4,travel 2,culinary 2,Persona 74,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,54,single,bachelor,designer,finance,Hougang,Singapore,['hobby2hobby3hobby4'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby2hobby3hobby4']
u-00075,professional 5,sports 3,arts 0,travel 0,culinary 3,Persona 75,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,55,married,bachelor,analyst,tech,Bedok,Singapore,['hobby3hobby4hobby5'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby3hobby4hobby5']
u-00076,professional 6,sports 0,arts 1,travel 1,culinary 4,Persona 76,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,56,single,bachelor,manager,retail,Tampines,Singapore,['hobby4hobby5hobby6'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby4hobby5hobby6']
u-00077,professional 7,sports 1,arts 2,travel 2,culinary 5,Persona 77,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,57,married,bachelor,researcher,media,Woodlands,Singapore,['hobby5hobby6hobby7'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby5hobby6hobby7']
u-00078,professional 8,sports 2,arts 3,travel 0,culinary 0,Persona 78,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,58,single,bachelor,engineer,education,Jurong West,Singapore,['hobby6hobby7hobby0'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby6hobby7hobby0']
u-00079,professional 9,sports 3,arts 4,travel 1,culinary 1,Persona 79,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,59,married,bachelor,teacher,finance,Hougang,Singapore,['hobby7hobby0hobby1'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby7hobby0hobby1']
u-00080,professional 0,sports 0,arts 0,travel 2,culinary 2,Persona 80,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,20,single,bachelor,designer,tech,Bedok,Singapore,['hobby0hobby1hobby2'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby0hobby1hobby2']
u-00081,professional 1,sports 1,arts 1,travel 0,culinary 3,Persona 81,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,21,married,bachelor,analyst,retail,Tampines,Singapore,['hobby1hobby2hobby3'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby1hobby2hobby3']
u-00082,professional 2,sports 2,arts 2,travel 1,culinary 4,Persona 82,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,22,single,bachelor,manager,media,Woodlands,Singapore,['hobby2hobby3hobby4'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby2hobby3hobby4']
u-00083,professional 3,sports 3,arts 3,travel 2,culinary 5,Persona 83,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,23,married,bachelor,researcher,education,Jurong West,Singapore,['hobby3hobby4hobby5'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby3hobby4hobby5']
u-00084,professional 4,sports 0,arts 4,travel 0,culinary 0,Persona 84,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,24,single,bachelor,engineer,finance,Hougang,Singapore,['hobby4hobby5hobby6'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby4hobby5hobby6']
u-00085,professional 5,sports 1,arts 0,travel 1,culinary 1,Persona 85,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,25,married,bachelor,teacher,tech,Bedok,Singapore,['hobby5hobby6hobby7'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby5hobby6hobby7']
u-00086,professional 6,sports 2,arts 1,travel 2,culinary 2,Persona 86,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,26,single,bachelor,designer,retail,Tampines,Singapore,['hobby6hobby7hobby0'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby6hobby7hobby0']
u-00087,professional 7,sports 3,arts 2,travel 0,culinary 3,Persona 87,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,27,married,bachelor,analyst,media,Woodlands,Singapore,['hobby7hobby0hobby1'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby7hobby0hobby1']
u-00088,professional 8,sports 0,arts 3,travel 1,culinary 4,Persona 88,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,28,single,bachelor,manager,education,Jurong West,Singapore,['hobby0hobby1hobby2'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby0hobby1hobby2']
u-00089,professional 9,sports 1,arts 4,travel 2,culinary 5,Persona 89,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,29,married,bachelor,researcher,finance,Hougang,Singapore,['hobby1hobby2hobby3'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby1hobby2hobby3']
u-00090,professional 0,sports 2,arts 0,travel 0,culinary 0,Persona 90,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,30,single,bachelor,engineer,tech,Bedok,Singapore,['hobby2hobby3hobby4'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby2hobby3hobby4']
u-00091,professional 1,sports 3,arts 1,travel 1,culinary 1,Persona 91,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,31,married,bachelor,teacher,retail,Tampines,Singapore,['hobby3hobby4hobby5'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby3hobby4hobby5']
